TYPE,SITE_ID,SITE_PID,SITE_TYPE,NAME_ENG,NAME,DESIG,DESIG_ENG,DESIG_TYPE,IUCN_CAT,INT_CRIT,REALM,REP_M_AREA,GIS_M_AREA,REP_AREA,GIS_AREA,NO_TAKE,NO_TK_AREA,STATUS,STATUS_YR,GOV_TYPE,GOVSUBTYPE,OWN_TYPE,OWNSUBTYPE,MANG_AUTH,MANG_PLAN,VERIF,METADATAID,PRNT_ISO3,ISO3,SUPP_INFO,CONS_OBJ,INLND_WTRS,OECM_ASMT
Polygon,3,3,PA,Laguna de los Pozuelos,Laguna de los Pozuelos,Monumento Natural,Nature Monument,National,III,Not Applicable,Terrestrial,0,0,160,217.931016272161,Not Applicable,0,Designated,1980,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,Not Reported,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,4,4,PA,Formosa,Formosa,Reserva Natural,Nature Reserve,National,Ia,Not Applicable,Terrestrial,0,0,90.05,90.7460528768777,Not Applicable,0,Designated,1968,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/plan_de_gestion_RNF_aprobado_Res_538-2018.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,6,6,PA,Los Glaciares,Los Glaciares,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,5385.5,5368.38407650526,Not Applicable,0,Designated,1937,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/PG_PN_LOS_GLACIARES_2019-2029__1_.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,7,7,PA,Lanín,Lanín,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,2169.93,2182.39232055778,Not Applicable,0,Designated,1937,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/PlanGestionPNLanin.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,8,8,PA,Los Alerces,Los Alerces,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,1883.79,1884.69513730094,Not Applicable,0,Designated,1937,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/PG_Los_Alerces.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,10,10,PA,Calilegua,Calilegua,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,763.06,775.214573989428,Not Applicable,0,Designated,1979,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,http://www.sib.gov.ar/archivos/PLAN_GESTION_PN_CALILEGUA.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,11,11,PA,Baritú,Baritú,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,724.39,682.065917619947,Not Applicable,0,Designated,1974,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/PG_BA_NOG.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,12,12,PA,Río Pilcomayo,Río Pilcomayo,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,518.89,508.320608129172,Not Applicable,0,Designated,1951,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/Plan_de_Gestion_del_PN_Rio_Pilcomayo.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,15,15,PA,Iguazú,Iguazú,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,599.45,512.47234262053,Not Applicable,0,Designated,1934,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/ANEXO_I_PGIguazu.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
Polygon,16,16,PA,El Rey,El Rey,Parque Nacional,National Park,National,II,Not Applicable,Terrestrial,0,0,441.62,401.906140958001,Not Applicable,0,Designated,1948,Federal or national ministry or agency,Not Applicable,Not Reported,Not Applicable,Administración de Parques Nacionales,https://sib.gob.ar/archivos/PG_PNER.pdf,State Verified,1935,ARG,ARG,Not Applicable,Not Applicable,Not Reported,Not Applicable
